phrase,difficulty
the big dog,1
my red ball,1
i see you,1
mom is here,1
go to bed,1
the cat ran,1
i love you,1
we eat lunch,1
look at me,1
the sun shines,2
birds can fly,2
fish swim fast,2
apples are sweet,2
trucks drive fast,2
cookies taste good,2
flowers smell nice,2
my best friend,2
the green frog,2
puppies bark loudly,3
elephants drink water,3
children play outside,3
butterflies flutter quietly,3
dolphins jump high,3
mountains stand tall,3
kittens chase strings,3
strawberries grow wild,4
chocolate melts quickly,4
thunderstorms scare puppies,4
spaghetti twirls around,4
helicopters hover overhead,4
jellyfish glow brightly,4
caterpillars transform slowly,5
philosophers ponder existence,5
archaeologists discover artifacts,5
